"0"	[834237, 11.562434283892557, 87499118.72391038]
"1"	[833777, 22.067051460814614, 92621599.56238571]
"10"	[834949, -2.8455360916440164, 105564014.41293064]
"11"	[832304, 34.5728640569971, 79515869.26843624]
"2"	[832451, -14.857210333720584, 87338250.88507928]
"3"	[832676, -19.11766927764743, 81581534.85093161]
"4"	[833149, 15.099974508256016, 92922778.98768601]
"5"	[831961, -6.847776079634745, 105528151.4406464]
"6"	[833335, 3.556395959278101, 61424036.9024966]
"7"	[834354, 4.798076383114637, 85288566.18146048]
"8"	[833649, 15.778497492611915, 86667085.63371867]
"9"	[833158, 8.631111917292886, 72320059.77043381]
